x,y,z
151.26405267,-33.91588921,-3.82
151.26405303,-33.91588791,-3.82
151.26405161,-33.91588788,-3.82
151.26405142,-33.91588913,-3.82
151.26405143,-33.91589034,-3.82
151.26405143,-33.91589027,-3.82
151.2640525,-33.91588938,-3.82
151.26405352,-33.91588961,-3.82
151.26405352,-33.91588961,-3.79
151.26405357,-33.91589264,-3.79
151.26405143,-33.9158947,-3.79
151.26405055,-33.91589586,-3.79
151.2640506,-33.91589916,-3.79
151.2640517,-33.91590375,-3.79
151.26405164,-33.91590465,-3.79
151.2640487,-33.91590682,-3.79
151.26404623,-33.91590998,-3.79
151.26404568,-33.91590879,-3.79
151.26404656,-33.91590854,-3.79
151.26404656,-33.91590854,-4.13
151.26404733,-33.91590841,-4.13
151.26404653,-33.91591013,-4.13
151.26404792,-33.9159107,-4.13
151.26405088,-33.9159109,-4.13
151.26405262,-33.91591207,-4.13
151.26405308,-33.91591108,-4.13
151.26405238,-33.91591048,-4.13
151.2640529,-33.91590704,-4.13
151.26405258,-33.91590743,-4.13
151.26405258,-33.91590743,-4.66
151.26405258,-33.91590743,-4.66
151.2640555,-33.91591329,-4.66
151.26405751,-33.91591579,-4.66
151.26405939,-33.91591845,-4.66
151.26406283,-33.91592073,-4.66
151.26406746,-33.91592136,-4.66
151.26406976,-33.9159202,-4.66
151.26406955,-33.91592019,-4.66
151.26407051,-33.91592264,-4.66
151.26407157,-33.91592726,-4.66
151.26407175,-33.91592833,-4.66
151.26407175,-33.91592833,-4.44
151.26407263,-33.91592629,-4.44
151.26407339,-33.91592716,-4.44
151.26407384,-33.9159294,-4.44
151.26407523,-33.91593229,-4.44
151.26407947,-33.91593473,-4.44
151.26408092,-33.9159374,-4.44
151.26408143,-33.91593842,-4.44
151.26408166,-33.91593989,-4.44
151.26408175,-33.91594097,-4.44
151.26408175,-33.91594097,-4.7
151.26408175,-33.91594097,-4.7
151.2640848,-33.9159461,-4.7
151.26408609,-33.91594934,-4.7
151.26408731,-33.91595297,-4.7
151.26409001,-33.91595508,-4.7
151.26409324,-33.91595685,-4.7
151.26409654,-33.91595841,-4.7
151.26409908,-33.91596053,-4.7
151.26410123,-33.91596241,-4.7
151.2641044,-33.91596194,-4.7
151.2641044,-33.91596194,-4.73
151.2641044,-33.91596194,-4.73
151.26410904,-33.91596215,-4.73
151.26411093,-33.91596307,-4.73
151.26411253,-33.91596347,-4.73
151.2641126,-33.91596473,-4.73
151.26411121,-33.91596708,-4.73
151.26411148,-33.91597067,-4.73
151.26411451,-33.91597209,-4.73
151.26412046,-33.91597337,-4.73
151.26412325,-33.91597463,-4.73
151.26412325,-33.91597463,-5.02
151.26412325,-33.91597463,-5.02
151.26412196,-33.91597806,-5.02
151.26412185,-33.9159803,-5.02
151.26412131,-33.9159818,-5.02
151.26412213,-33.91598593,-5.02
151.26412419,-33.91599221,-5.02
151.26412563,-33.91599758,-5.02
151.26412792,-33.91599966,-5.02
151.2641313,-33.91600336,-5.02
151.26413265,-33.91600791,-5.02
151.26413262,-33.91601111,-5.02
151.26413262,-33.91601111,-5.09
151.26413275,-33.91601067,-5.09
151.26413156,-33.91601144,-5.09
151.26413151,-33.91601604,-5.09
151.26413234,-33.91602003,-5.09
151.26413308,-33.91602134,-5.09
151.26413127,-33.91602052,-5.09
151.26412957,-33.91601959,-5.09
151.26412936,-33.91601886,-5.09
151.26412894,-33.91601979,-5.09
151.26412894,-33.91601979,-4.68
151.26412894,-33.91601979,-4.68
151.26412906,-33.91602393,-4.68
151.26413084,-33.91602627,-4.68
151.26413282,-33.91602773,-4.68
151.26413533,-33.9160295,-4.68
151.26413488,-33.91603058,-4.68
151.26413437,-33.91603185,-4.68
151.26413589,-33.91603399,-4.68
151.26413768,-33.91603425,-4.68
151.26414083,-33.91603363,-4.68
151.26414083,-33.91603363,-4.96
151.26414083,-33.91603363,-4.96
151.26414286,-33.91603512,-4.96
151.2641431,-33.91603415,-4.96
151.26414486,-33.91603294,-4.96
151.26414571,-33.91603382,-4.96
151.26414669,-33.91603448,-4.96
151.26414474,-33.91603019,-4.96
151.26414435,-33.91602794,-4.96
151.2641453,-33.91602748,-4.96
151.26414489,-33.91602549,-4.96
151.26414489,-33.91602549,-4.67
151.26414489,-33.91602549,-4.67
151.26414014,-33.91602611,-4.67
151.26413911,-33.91602657,-4.67
151.26413753,-33.91602678,-4.67
